season,game_id,game_number,play_seq_num,narrative,home_team_id,home_team_score,away_team_id,away_team_score,offensive_team_id,offensive_team_score,defensive_team_id,defensive_team_score,inning,top_bottom_flag,outs,winning_team_id,action,hit_location,hit_location_description,batter_id,pitcher_id
2022,311,1,-1,Start of game,251,0,252,0,252,0,251,0,1,True,0,,,,,,
2022,311,1,1,H McCleney walked (3-2 BKBBKB).,251,0,252,0,252,0,251,0,1,True,0,,BB,0,,28,278
2022,311,1,2,H McCleney advanced to second on a passed ball.,251,0,252,0,252,0,251,0,1,True,0,,,,,,
2022,311,1,3,M Zerkle walked (3-2 BBFFBB).,251,0,252,0,252,0,251,0,1,True,0,,BB,0,,84,278
2022,311,1,4,"A Chidester singled through the left side, RBI (0-2 KF); M Zerkle advanced to second; H McCleney scored.",251,0,252,1,252,1,251,0,1,True,0,252,1B LS RBI,7,left side,36,278
2022,311,1,5,D Mulipola reached on a fielder's choice (1-1 BK); A Chidester out at second ss to 2b; M Zerkle advanced to third.,251,0,252,1,252,1,251,0,1,True,0,252,FC,0,,199,278
2022,311,1,6,A Harrell hit by pitch (2-2 BBKF); D Mulipola advanced to second.,251,0,252,1,252,1,251,0,1,True,1,252,HBP,0,,309,278
2022,311,1,7,"N Rangel-Me walked, RBI (3-2 BBBKSB); A Harrell advanced to second; D Mulipola advanced to third; M Zerkle scored.",251,0,252,2,252,2,251,0,1,True,1,252,BB RBI,0,,294,278
2022,311,1,8,S Fischer struck out swinging (0-2 SSS).,251,0,252,2,252,2,251,0,1,True,1,252,KS,0,,37,278
2022,311,1,9,"A Filler hit by pitch, RBI (0-1 F); N Rangel-Me advanced to second; A Harrell advanced to third; D Mulipola scored.",251,0,252,3,252,3,251,0,1,True,2,252,HBP RBI,0,,305,278
2022,311,1,10,"S Bates singled up the middle, 2 RBI (3-2 BKFBFB); A Filler advanced to second; N Rangel-Me scored; A Harrell scored.",251,0,252,5,252,5,251,0,1,True,2,252,1B MI RBI2,8,middle,198,278
2022,311,1,11,"H McCleney doubled down the rf line, RBI (3-2 FBKFBBF); S Bates advanced to third; A Filler scored.",251,0,252,6,252,6,251,0,1,True,2,252,2B RL RBI,9,rf line,28,278
2022,311,1,12,R Garcia to dp.,251,0,252,6,252,6,251,0,1,True,2,252,,,,,
2022,311,1,13,D O'Toole to p.,251,0,252,6,252,6,251,0,1,True,2,252,,,,,
2022,311,1,14,M Zerkle grounded out to 2b (2-2 FBFB).,251,0,252,6,252,6,251,0,1,True,2,252,43,4,,84,40
2022,311,1,15,A Andrews singled to pitcher (3-2 KBBBSF).,251,0,252,6,251,0,252,6,1,False,0,252,1B 1,1,pitcher,197,307
2022,311,1,16,A Lorenz walked (3-1 BBBKB); A Andrews advanced to second.,251,0,252,6,251,0,252,6,1,False,0,252,BB,0,,159,307
2022,311,1,17,D Gibson singled through the right side (1-0 B); A Lorenz advanced to second; A Andrews advanced to third.,251,0,252,6,251,0,252,6,1,False,0,252,1B RS,9,right side,308,307
2022,311,1,18,"R Garcia flied out to lf, SAC, RBI (0-1 S); D Gibson advanced to second; A Lorenz advanced to third; A Andrews scored.",251,1,252,6,251,1,252,6,1,False,0,252,F7 SAC RBI,7,,278,307
2022,311,1,19,"Si Romero singled to second base, RBI; D Gibson advanced to third; A Lorenz scored.",251,2,252,6,251,2,252,6,1,False,1,252,1B 4 RBI,4,second base,292,307
2022,311,1,20,Sy Romero flied out to lf (0-2 SS).,251,2,252,6,251,2,252,6,1,False,1,252,F7,7,,157,307
2022,311,1,21,C Gano grounded out to ss (1-2 KKB).,251,2,252,6,251,2,252,6,1,False,2,252,63,6,,167,307
2022,311,1,22,A Chidester grounded out to 3b (1-1 KB).,251,2,252,6,252,6,251,2,2,True,0,252,53,5,,36,40
2022,311,1,23,D Mulipola flied out to lf (3-2 KBSBB).,251,2,252,6,252,6,251,2,2,True,1,252,F7,7,,199,40
2022,311,1,24,A Harrell struck out swinging (2-2 BKBFS).,251,2,252,6,252,6,251,2,2,True,2,252,KS,0,,309,40
2022,311,1,25,S Palacios hit by pitch (1-1 FB).,251,2,252,6,251,2,252,6,2,False,0,252,HBP,0,,7,307
2022,311,1,26,A Ocasio singled to shortstop (1-1 FB); S Palacios advanced to second.,251,2,252,6,251,2,252,6,2,False,0,252,1B 6,6,shortstop,10,307
2022,311,1,27,A Andrews grounded out to p (0-2 KS); A Ocasio advanced to second; S Palacios advanced to third.,251,2,252,6,251,2,252,6,2,False,0,252,13,1,,197,307
2022,311,1,28,A Lorenz popped up to 2b (3-2 KKBBB).,251,2,252,6,251,2,252,6,2,False,1,252,P4,4,,159,307
2022,311,1,29,D Gibson popped up to c (2-2 BFFB).,251,2,252,6,251,2,252,6,2,False,2,252,P2,2,,308,307
2022,311,1,30,N Rangel-Me grounded out to 1b unassisted (0-0).,251,2,252,6,252,6,251,2,3,True,0,252,3U,3,,294,40
2022,311,1,31,S Fischer walked (3-2 BBKKBB).,251,2,252,6,252,6,251,2,3,True,1,252,BB,0,,37,40
2022,311,1,32,A Filler grounded out to p (0-1 K); S Fischer advanced to second.,251,2,252,6,252,6,251,2,3,True,1,252,13,1,,305,40
2022,311,1,33,S Bates grounded out to p (1-1 KB).,251,2,252,6,252,6,251,2,3,True,2,252,13,1,,198,40
2022,311,1,34,R Fico to p for G Corrick.,251,2,252,6,251,2,252,6,3,False,0,252,,,,,
2022,311,1,35,R Garcia struck out looking (2-2 BFBFFK).,251,2,252,6,251,2,252,6,3,False,0,252,KL,0,,278,293
2022,311,1,36,"Si Romero homered, RBI (2-1 BKB).",251,3,252,6,251,3,252,6,3,False,1,252,HR RBI,0,,292,293
2022,311,1,37,Sy Romero singled to left field (0-0).,251,3,252,6,251,3,252,6,3,False,1,252,1B 7,7,left field,157,293
2022,311,1,38,C Gano hit into double play ss to 2b to 1b (0-0); Sy Romero out on the play.,251,3,252,6,251,3,252,6,3,False,1,252,643 DP,6,,167,293
2022,311,1,39,H McCleney lined out to 2b (2-2 KBBK).,251,3,252,6,252,6,251,3,4,True,0,252,L4,4,,28,40
2022,311,1,40,M Zerkle fouled out to 3b (2-2 KFBB).,251,3,252,6,252,6,251,3,4,True,1,252,FF5,5,,84,40
2022,311,1,41,A Chidester grounded out to 2b (0-0).,251,3,252,6,252,6,251,3,4,True,2,252,43,4,,36,40
2022,311,1,42,S Palacios grounded out to p unassisted (3-2 KFBBFB).,251,3,252,6,251,3,252,6,4,False,0,252,1U,1,,7,293
2022,311,1,43,A Ocasio flied out to cf (2-2 FKBB).,251,3,252,6,251,3,252,6,4,False,1,252,F8,8,,10,293
2022,311,1,44,A Andrews flied out to lf (1-2 BKF).,251,3,252,6,251,3,252,6,4,False,2,252,F7,7,,197,293
2022,311,1,45,D Mulipola flied out to rf (2-1 BBK).,251,3,252,6,252,6,251,3,5,True,0,252,F9,9,,199,40
2022,311,1,46,A Harrell grounded out to 2b (0-2 KF).,251,3,252,6,252,6,251,3,5,True,1,252,43,4,,309,40
2022,311,1,47,N Rangel-Me grounded out to p (0-0).,251,3,252,6,252,6,251,3,5,True,2,252,13,1,,294,40
2022,311,1,48,A Lorenz walked (3-0 BBBB).,251,3,252,6,251,3,252,6,5,False,0,252,BB,0,,159,293
2022,311,1,49,D Gibson reached on a fielder's choice to shortstop (0-0); A Lorenz out at second ss to 2b.,251,3,252,6,251,3,252,6,5,False,0,252,FC 6,6,shortstop,308,293
2022,311,1,50,N Taylor to dp for R Garcia.,251,3,252,6,251,3,252,6,5,False,1,252,,,,,
2022,311,1,51,N Taylor hit into double play 3b to 2b to 1b (1-0 B); D Gibson out on the play.,251,3,252,6,251,3,252,6,5,False,1,252,543 DP,5,,39,293
2022,311,1,52,R Garcia to p for D O'Toole.,251,3,252,6,252,6,251,3,6,True,0,252,,,,,
2022,311,1,53,S Fischer singled to second base (1-2 KFB).,251,3,252,6,252,6,251,3,6,True,0,252,1B 4,4,second base,37,278
2022,311,1,54,M Hackbarth pinch hit for A Filler.,251,3,252,6,252,6,251,3,6,True,0,252,,,,,
2022,311,1,55,M Hackbarth walked (3-0 BBBB); S Fischer advanced to second.,251,3,252,6,252,6,251,3,6,True,0,252,BB,0,,304,278
2022,311,1,56,"S Bates out at first 3b to 2b, SAC, bunt (0-0); M Hackbarth advanced to second; S Fischer advanced to third.",251,3,252,6,252,6,251,3,6,True,0,252,54 SAC BU,5,,198,278
2022,311,1,57,"H McCleney singled through the left side, RBI (2-2 BFKFFB); M Hackbarth advanced to third; S Fischer scored.",251,3,252,7,252,7,251,3,6,True,1,252,1B LS RBI,7,left side,28,278
2022,311,1,58,M Zerkle grounded out to 1b unassisted (0-2 FF).,251,3,252,7,252,7,251,3,6,True,1,252,3U,3,,84,278
2022,311,1,59,A Chidester popped up to 3b (1-2 BKK).,251,3,252,7,252,7,251,3,6,True,2,252,P5,5,,36,278
2022,311,1,60,A Filler to 2b for M Hackbarth.,251,3,252,7,251,3,252,7,6,False,0,252,,,,,
